__PS_BoolToString,Std.$bool.$$ToString
__PS_CharToString,$char.$$ToString
__PS_I8ToString,$i8.$$ToString
__PS_U8ToString,$u8.$$ToString
__PS_ULToString,$ul.$$ToString
__PS_I16ToString,$i16.$$ToString
__PS_U16ToString,$u16.$$ToString
__PS_I32ToString,$i32.$$ToString
__PS_U32ToString,$u32.$$ToString
__PS_I64ToString,$i64.$$ToString
__PS_U64ToString,$u64.$$ToString
__PS_F16ToString,$f16.$$ToString
__PS_F32ToString,$f32.$$ToString
__PS_F64ToString,$f64.$$ToString
__PS_StringToString,$string.$$ToString
print,Std.$$print
